Titre du poste,Entreprise,Ville,Secteur,Contrat proposé,Niveau d'étude,Expérience,Compétences Techniques,Langues,Soft Skills,Lien de l'offre
Recrutement Kénitra & Oujda: découvrez les opportunités chez Hirschmann Automotive,Non spécifié,Kénitra,"Automobile, Procédés",Stage,Bac+4,60 ans,"5S, APQP, Excel, Lean, PPAP, SAP",Anglais,"Autonomie, Communication, Flexibilité, Innovation, Leadership, Travailler en équipe",https://www.dreamjob.ma/emploi/recrutement-kenitra-oujda-decouvrez-les-opportunites-chez-hirschmann-automotive/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Expleo Maroc: postes ouverts pour consultants passionnés d’innovation R&D,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,40 ans,Excel,Non specifié,"Autonomie, Innovation, Relationnel",https://www.dreamjob.ma/emploi/expleo-maroc-postes-ouverts-pour-consultants-passionnes-dinnovation-rd/
TotalEnergies recrute au Maroc: postes ouverts pour jeunes diplômés et experts,TotalEnergies,Non spécifié,"Logistique, Énergie",Non spécifié,"Bac+4, bac+5",2 ans,"Excel, SAP",Non specifié,"Communication, Créativité, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/totalenergies-recrute-au-maroc-postes-ouverts-pour-jeunes-diplomes-et-experts/
Tractafric Equipment recrute: 2 offres d’emploi à Casablanca et Khouribga,Tractafric Equipment,Casablanca,Btp,Non spécifié,"Bac+2, bac+3",80 ans,Non spécifié,Non specifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/tractafric-equipment-recrute-2-offres-demploi-a-casablanca-et-khouribga/
Gestamp recrute des techniciens maintenance presse expérimentés au Maroc,Gestamp,Non spécifié,Automobile,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Force de proposition, Innovation, Rigueur",https://www.dreamjob.ma/emploi/gestamp-recrute-des-techniciens-maintenance-presse-experimentes-au-maroc/
Emplois industriels à Tanger: Bel recrute des profils techniques qualifiés,Emplois industriels à Tanger: Bel,Tanger,Agroalimentaire,CDI,Bac+2,3 ans,"Autocad, CAO","Français, Anglais","Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/emplois-industriels-a-tanger-bel-recrute-des-profils-techniques-qualifies/
"Opportunités d’emploi en finance, risques et qualité chez Maghreb Steel",Non spécifié,Non spécifié,Métallurgie,Non spécifié,"Bac+2, bac+4",5 ans,Non spécifié,Anglais,"Communication, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/opportunites-demploi-en-finance-risques-et-qualite-chez-maghreb-steel/
TE Connectivity recrute: plusieurs postes à pourvoir à Tanger et à distance,TE Connectivity,Tanger,"Automobile, Aéronautique, Logistique, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/te-connectivity-recrute-plusieurs-postes-a-pourvoir-a-tanger-et-a-distance/
Offres d’emploi à Casablanca: intégrez Sulzer,Non spécifié,Casablanca,Non spécifié,Non spécifié,Bac+5,2 ans,"ERP, Lean","Français, Anglais, Arabe","Adaptabilité, Autonomie, Communication, Initiative, Innovation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-a-casablanca-integrez-sulzer/
SABCA Maroc recrute: plus de six postes à pourvoir dans l’aéronautique,SABCA Maroc,Nouaceur,"Aéronautique, Logistique",Stage,"Bac+2, bac+3",3 ans,"Lean, Six sigma",Non specifié,Innovation,https://www.dreamjob.ma/emploi/sabca-maroc-recrute-plus-de-six-postes-a-pourvoir-dans-laeronautique/
Intersig Maroc: Offres d’emploi et stages dans l’industrie – Postulez dès maintenant,Non spécifié,Non spécifié,"Chimie, Logistique",Stage,Bac+2,40 ans,GMAO,Non specifié,"Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/intersig-maroc-offres-demploi-et-stages-dans-lindustrie-postulez-des-maintenant/
Hirschmann Automotive recrute au Maroc: 6 postes ouverts à Kénitra et Oujda,Hirschmann Automotive,Kénitra,"Automobile, Logistique, Plasturgie",Stage,"Bac+3, bac+5",Non spécifié,ERP,"Français, Anglais","Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/hirschmann-automotive-recrute-au-maroc-6-postes-ouverts-a-kenitra-et-oujda/
Industrie minière: des postes ouverts chez Aya Gold & Silver,Non spécifié,Non spécifié,Minier,CDI,Bac+5,6 ans,Non spécifié,Non specifié,"Adaptabilité, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/industrie-miniere-des-postes-ouverts-chez-aya-gold-silver/
Opportunité haut niveau dans la logistique maritime: rejoignez Marsa Maroc,Non spécifié,Non spécifié,Logistique,Non spécifié,Non spécifié,10 ans,Lean,Anglais,"Leadership, Réactivité",https://www.dreamjob.ma/emploi-public/opportunite-haut-niveau-dans-la-logistique-maritime-rejoignez-marsa-maroc/
Les Imprimeries du Matin recrutent Plusieurs Profils sur Casablanca,Non spécifié,Casablanca,"Agroalimentaire, Pharmaceutique, Procédés",Non spécifié,"Bac+2, bac+5",5 ans,"CAO, ERP, Lean",Anglais,"Autonome, Autonomie, Communication, Créativité, Flexibilité, Gestion de projet, Innovation, Leadership, Organisation, Proactivité, Relationnel, Rigueur, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/les-imprimeries-du-matin-recrutent-plusieurs-profils-sur-casablanca/
Eaton recrute au Maroc: 7 nouveaux postes à Casablanca et Tanger,Eaton,Casablanca,"Logistique, Énergie",Non spécifié,Non spécifié,Non spécifié,Lean,Français,Innovation,https://www.dreamjob.ma/emploi/eaton-recrute-au-maroc-7-nouveaux-postes-a-casablanca-et-tanger/
Opportunités d’emploi chez Hirschmann Automotive: 4 profils recherchés,Non spécifié,Non spécifié,"Automobile, Logistique, Procédés",Stage,"Bac+3, bac+5",3 ans,"5S, ERP, Excel, SAP","Français, Anglais","Adaptabilité, Autonomie, Communication, Créativité, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-chez-hirschmann-automotive-4-profils-recherches/
Concours de Recrutement LPEE 2025 (19 Postes),Non spécifié,Non spécifié,"Chimie, Logistique, Plasturgie, Procédés",Non spécifié,"Bac+2, bac+3, bac+5",3 à 5 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-lpee-2025-19-postes/
"Emploi chez JESA: découvrez les offres ouvertes à Casablanca, Jorf, Rabat et Safi",Non spécifié,Casablanca,Énergie,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/emploi-chez-jesa-decouvrez-les-offres-ouvertes-a-casablanca-jorf-rabat-et-safi/
Concours de Recrutement SRM Casablanca-Settat 2025 (+400 Postes),Non spécifié,Casablanca,Non spécifié,Non spécifié,Non spécifié,30 ans,Non spécifié,Non specifié,"Communication, Gestion de projet",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-srm-casablanca-settat-2025-400-postes/
Air Arabia recrute: techniciens et contrôleurs pour sa maintenance au Maroc,Air Arabia,Non spécifié,Aéronautique,Non spécifié,"Bac+3, bac+5",3 ans,Non spécifié,Anglais,"Flexibilité, Organisation, Rigueur",https://www.dreamjob.ma/emploi/air-arabia-recrute-techniciens-et-controleurs-pour-sa-maintenance-au-maroc/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Concours de Recrutement OFPPT 2025 (768 Postes),Non spécifié,Non spécifié,"Agroalimentaire, Automobile, Btp, Construction, Logistique",Non spécifié,"Bac+2, bac+5",Non spécifié,"Automatisme, Robotique","Français, Anglais",Communication,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-ofppt-2025-768-postes/
Amendis recrute: de belles opportunités pour profils Bac+2 à Bac+5,Amendis,Non spécifié,Énergie,Non spécifié,"Bac+2, bac+5",Non spécifié,Modélisation,Non specifié,"Organisation, Travailler en équipe",https://www.dreamjob.ma/emploi/amendis-recrute-de-belles-opportunites-pour-profils-bac2-a-bac5/
"TGCC lance une vaste campagne d’embauche à Casablanca, Fès, Mohammédia et plus",Non spécifié,Casablanca,"Btp, Construction, Énergie",CDI,"Bac+2, bac+3, bac+4, bac+5",2 à 6 ans,"Autocad, CAO, DAO, Ms project, SOLIDWORKS",Anglais,Organisation,https://www.dreamjob.ma/emploi/tgcc-lance-une-vaste-campagne-dembauche-a-casablanca-fes-mohammedia-et-plus/
Concours de Recrutement OFPPT 2025 (528 Postes),Non spécifié,Non spécifié,Non spécifié,Non spécifié,Bac+2,Non spécifié,Non spécifié,"Français, Anglais",Communication,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-ofppt-2025-528-postes/
"Casablanca, Kenitra, Agadir: SEGULA Technologies lance une vague de recrutements",Non spécifié,Casablanca,"Automobile, Aéronautique",CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/casablanca-kenitra-agadir-segula-technologies-lance-une-vague-de-recrutements/
VINCI Construction recrute au Maroc: plus de 10 postes ouverts sur chantier,VINCI Construction,Non spécifié,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/vinci-construction-recrute-au-maroc-plus-de-10-postes-ouverts-sur-chantier/
Offres d’emploi à Maghreb Steel: rejoignez la sidérurgie marocaine avec des postes clés,Non spécifié,Non spécifié,"Logistique, Métallurgie, Procédés",Non spécifié,Bac+2,4 à 6 ans,"5S, ERP, Kaizen, Lean",Anglais,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-a-maghreb-steel-rejoignez-la-siderurgie-marocaine-avec-des-postes-cles/
Concours de Recrutement SRM Oriental 2025 (103 Postes),Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Bac+2, bac+5",18 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-srm-oriental-2025/
Nouvelle vague de recrutement chez Aiguebelle: découvrez les opportunités,Non spécifié,Non spécifié,"Agroalimentaire, Pharmaceutique, Procédés",Non spécifié,"Bac+3, bac+5",3 ans,Non spécifié,Français,Innovation,https://www.dreamjob.ma/emploi/nouvelle-vague-de-recrutement-chez-aiguebelle-decouvrez-les-opportunites/
COVEC recrute 14 métiers du BTP à Casablanca: postulez vite,COVEC,Casablanca,"Btp, Construction, Logistique",Non spécifié,"Bac+2, bac+4",5 ans,"Autocad, Excel","Français, Anglais, Arabe","Communication, Organisation",https://www.dreamjob.ma/emploi/covec-recrute-14-metiers-du-btp-a-casablanca-postulez-vite/
